date,Sample Name,Transaction Amount,Category
2024-01-01,New Year's Party Supplies,-75.50,Entertainment
2024-01-02,Grocery Store,-92.45,Food
2024-01-03,Gas Station,-48.75,Transportation
2024-01-04,Coffee Shop,-5.25,Food
2024-01-05,Electric Company,-115.00,Utilities
2024-01-06,Restaurant,-70.25,Food
2024-01-07,Online Streaming Service,-14.99,Entertainment
2024-01-08,Pharmacy,-28.50,Health
2024-01-09,Gym Membership,-50.00,Health
2024-01-10,Mobile Phone Bill,-75.00,Utilities
2024-01-11,Bookstore,-32.99,Education
2024-01-12,Public Transport,-30.00,Transportation
2024-01-13,Winter Clothing,-120.75,Shopping
2024-01-14,Supermarket,-88.50,Food
2024-01-15,Internet Service,-60.00,Utilities
2024-01-15,Paycheck,3000.00,Income
2024-01-16,Hair Salon,-60.00,Personal Care
2024-01-17,Home Improvement Store,-95.25,Home Improvement
2024-01-18,Fast Food,-14.50,Food
2024-01-19,Movie Tickets,-30.00,Entertainment
2024-01-20,Pet Food,-40.75,Pets
2024-01-21,Car Insurance,-150.00,Insurance
2024-01-22,Doctor's Visit,-75.00,Health
2024-01-23,Office Supplies,-22.50,Office
2024-01-24,Lunch with Colleagues,-32.00,Food
2024-01-25,Charity Donation,40.00,Donations
2024-01-26,Parking Fee,-12.00,Transportation
2024-01-27,Home Decor,-65.50,Home Improvement
2024-01-28,Gym Equipment,-180.00,Health
2024-01-29,Concert Tickets,-110.00,Entertainment
2024-01-30,Grocery Delivery,-85.75,Food
2024-01-31,Rent Payment,-1200.00,Housing
2024-02-01,Paycheck,3000.00,Income
2024-02-02,Gas Station,-46.50,Transportation
2024-02-03,Online Retailer,-85.99,Shopping
2024-02-04,Coffee Shop,-4.75,Food
2024-02-05,Water Bill,-45.00,Utilities
2024-02-06,Restaurant,-55.25,Food
2024-02-07,Streaming Service,-14.99,Entertainment
2024-02-08,Pharmacy,-35.25,Health
2024-02-09,Gym Membership,-50.00,Health
2024-02-10,Mobile Phone Bill,-75.00,Utilities
2024-02-11,Online Course,-199.99,Education
2024-02-12,Public Transport,-30.00,Transportation
2024-02-13,Valentine's Day Gift,-89.50,Shopping
2024-02-14,Supermarket,-95.75,Food
2024-02-15,Internet Service,-60.00,Utilities
2024-02-15,Paycheck,3000.00,Income
2024-02-16,Spa Day,-120.00,Personal Care
2024-02-17,Hardware Store,-45.25,Home Improvement
2024-02-18,Fast Food,-13.99,Food
2024-02-19,Video Game Purchase,-59.99,Entertainment
2024-02-20,Pet Grooming,-65.00,Pets
2024-02-21,Home Insurance,-200.00,Insurance
2024-02-22,Dentist Appointment,-150.00,Health
2024-02-23,Printer Ink,-38.75,Office
2024-02-24,Dinner Party Supplies,-85.50,Food
2024-02-25,Charity Run Entry Fee,30.00,Donations
2024-02-26,Taxi Ride,-25.00,Transportation
2024-02-27,Furniture Store,-350.00,Home Improvement
2024-02-28,Fitness Class,-20.00,Health
2024-02-29,Theater Tickets,-140.00,Entertainment
2024-03-01,Paycheck,3000.00,Income
2024-03-02,Grocery Store,-102.30,Food
2024-03-03,Gas Station,-49.75,Transportation
2024-03-04,Coffee Shop,-5.50,Food
2024-03-05,Electric Company,-105.00,Utilities
2024-03-06,Restaurant,-68.25,Food
2024-03-07,Movie Rental,-5.99,Entertainment
2024-03-08,Pharmacy,-42.75,Health
2024-03-09,Gym Membership,-50.00,Health
2024-03-10,Mobile Phone Bill,-75.00,Utilities
2024-03-11,Textbooks,-150.99,Education
2024-03-12,Public Transport,-30.00,Transportation
2024-03-13,Spring Clothing,-135.50,Shopping
2024-03-14,Supermarket,-92.25,Food
2024-03-15,Internet Service,-60.00,Utilities
2024-03-15,Paycheck,3000.00,Income
2024-03-16,Haircut,-45.00,Personal Care
2024-03-17,Garden Supplies,-75.25,Home Improvement
2024-03-18,Fast Food,-11.99,Food
2024-03-19,Concert Tickets,-85.00,Entertainment
2024-03-20,Pet Toys,-35.50,Pets
2024-03-21,Car Maintenance,-250.00,Transportation
2024-03-22,Eye Doctor,-100.00,Health
2024-03-23,Office Chair,-189.99,Office
2024-03-24,Brunch with Friends,-45.00,Food
2024-03-25,Charitable Donation,75.00,Donations
2024-03-26,Parking Permit,-40.00,Transportation
2024-03-27,Home Cleaning Service,-120.00,Home Improvement
2024-03-28,Yoga Mat,-30.00,Health
2024-03-29,Music Festival Tickets,-200.00,Entertainment
2024-03-30,Grocery Delivery,-88.50,Food
2024-03-31,Rent Payment,-1200.00,Housing
2024-04-01,Paycheck,3000.00,Income
2024-04-02,Gas Station,-51.25,Transportation
2024-04-03,Online Retailer,-76.50,Shopping
2024-04-04,Coffee Shop,-4.95,Food
2024-04-05,Water Bill,-48.00,Utilities
2024-04-06,Restaurant,-72.50,Food
2024-04-07,Streaming Service,-14.99,Entertainment
2024-04-08,Pharmacy,-31.75,Health
2024-04-09,Gym Membership,-50.00,Health
2024-04-10,Mobile Phone Bill,-75.00,Utilities
2024-04-11,Language Learning App,-79.99,Education
2024-04-12,Public Transport,-30.00,Transportation
2024-04-13,Electronics Store,-299.99,Shopping
2024-04-14,Supermarket,-97.25,Food
2024-04-15,Internet Service,-60.00,Utilities
2024-04-15,Paycheck,3000.00,Income
2024-04-16,Nail Salon,-40.00,Personal Care
2024-04-17,Home Repair,-150.25,Home Improvement
2024-04-18,Fast Food,-15.75,Food
2024-04-19,Amusement Park Tickets,-120.00,Entertainment
2024-04-20,Pet Vaccination,-85.00,Pets
2024-04-21,Life Insurance Premium,-75.00,Insurance
2024-04-22,Chiropractor,-80.00,Health
2024-04-23,Stationery,-25.50,Office
2024-04-24,Food Truck Lunch,-18.00,Food
2024-04-25,Fundraiser Contribution,50.00,Donations
2024-04-26,Uber Ride,-35.00,Transportation
2024-04-27,Landscaping Service,-200.00,Home Improvement
2024-04-28,Fitness Tracker,-129.99,Health
2024-04-29,Comedy Show Tickets,-60.00,Entertainment
2024-04-30,Grocery Delivery,-91.75,Food
2024-05-01,Paycheck,3000.00,Income
2024-05-02,Grocery Store,-108.50,Food
2024-05-03,Gas Station,-47.25,Transportation
2024-05-04,Coffee Shop,-5.75,Food
2024-05-05,Electric Company,-95.00,Utilities
2024-05-06,Restaurant,-80.25,Food
2024-05-07,Movie Tickets,-28.00,Entertainment
2024-05-08,Pharmacy,-38.50,Health
2024-05-09,Gym Membership,-50.00,Health
2024-05-10,Mobile Phone Bill,-75.00,Utilities
2024-05-11,Online Course,-149.99,Education
2024-05-12,Public Transport,-30.00,Transportation
2024-05-13,Summer Clothing,-145.75,Shopping
2024-05-14,Supermarket,-94.50,Food
2024-05-15,Internet Service,-60.00,Utilities
2024-05-15,Paycheck,3000.00,Income
2024-05-16,Massage,-85.00,Personal Care
2024-05-17,Outdoor Furniture,-399.99,Home Improvement
2024-05-18,Fast Food,-12.50,Food
2024-05-19,Theme Park Tickets,-180.00,Entertainment
2024-05-20,Pet Boarding,-120.00,Pets
2024-05-21,Car Insurance,-150.00,Insurance
2024-05-22,Dental Cleaning,-95.00,Health
2024-05-23,Desk Organizer,-35.99,Office
2024-05-24,Picnic Supplies,-55.00,Food
2024-05-25,Charity Gala Ticket,150.00,Donations
2024-05-26,Train Ticket,-65.00,Transportation
2024-05-27,Air Conditioner Repair,-225.00,Home Improvement
2024-05-28,Gym Equipment,-175.00,Health
2024-05-29,Music Concert Tickets,-150.00,Entertainment
2024-05-30,Grocery Delivery,-87.25,Food
2024-05-31,Rent Payment,-1200.00,Housing
2024-06-01,Paycheck,3000.00,Income
2024-06-02,Gas Station,-52.75,Transportation
2024-06-03,Online Retailer,-95.99,Shopping
2024-06-04,Coffee Shop,-5.25,Food
2024-06-05,Water Bill,-50.00,Utilities
2024-06-06,Restaurant,-70.50,Food
2024-06-07,Streaming Service,-14.99,Entertainment
2024-06-08,Pharmacy,-42.25,Health
2024-06-09,Gym Membership,-50.00,Health
2024-06-10,Mobile Phone Bill,-75.00,Utilities
2024-06-11,Professional Development Seminar,-250.00,Education
2024-06-12,Public Transport,-30.00,Transportation
2024-06-13,Father's Day Gift,-85.00,Shopping
2024-06-14,Supermarket,-99.75,Food
2024-06-15,Internet Service,-60.00,Utilities
2024-06-15,Paycheck,3000.00,Income
2024-06-16,Hair Coloring,-120.00,Personal Care
2024-06-17,Gardening Tools,-85.50,Home Improvement
2024-06-18,Fast Food,-14.25,Food
2024-06-19,Movie Streaming Rental,-6.99,Entertainment
2024-06-20,Pet Supplies,-55.00,Pets
2024-06-21,Renters Insurance,-15.00,Insurance
2024-06-22,Urgent Care Visit,-100.00,Health
2024-06-23,Printer Paper,-18.99,Office
2024-06-24,Restaurant Gift Card Purchase,-50.00,Gifts
2024-06-25,Local Charity Donation,40.00,Donations
2024-06-26,Car Rental,-85.00,Transportation
2024-06-27,Home Security System,-299.99,Home Improvement
2024-06-28,Fitness Class Package,-150.00,Health
2024-06-29,Art Gallery Exhibition,-25.00,Entertainment
2024-06-30,Grocery Delivery,-92.50,Food
2024-07-01,Paycheck,3000.00,Income
2024-07-02,Grocery Store,-115.30,Food
2024-07-03,Gas Station,-54.25,Transportation
2024-07-04,Coffee Shop,-6.50,Food
2024-07-05,Electric Company,-110.00,Utilities
2024-07-06,Restaurant,-85.75,Food
2024-07-07,Fireworks Show Tickets,-40.00,Entertainment
2024-07-08,Pharmacy,-36.50,Health
2024-07-09,Gym Membership,-50.00,Health
2024-07-10,Mobile Phone Bill,-75.00,Utilities
2024-07-11,Language Learning Books,-65.99,Education
2024-07-12,Public Transport,-30.00,Transportation
2024-07-13,Beach Gear,-125.50,Shopping
2024-07-14,Supermarket,-97.25,Food
2024-07-15,Internet Service,-60.00,Utilities
2024-07-15,Paycheck,3000.00,Income
2024-07-16,Sunscreen and Skincare,-45.00,Personal Care
2024-07-17,Patio Furniture,-350.00,Home Improvement
2024-07-18,Ice Cream Shop,-8.99,Food
2024-07-19,Outdoor Movie Night,-15.00,Entertainment
2024-07-20,Pet Grooming,-70.00,Pets
2024-07-21,Travel Insurance,-45.00,Insurance
2024-07-22,Dermatologist Appointment,-150.00,Health
2024-07-23,Laptop Cooling Pad,-29.99,Office
2024-07-24,Summer BBQ Supplies,-75.00,Food
2024-07-25,Environmental Charity Donation,60.00,Donations
2024-07-26,Airport Shuttle,-30.00,Transportation
2024-07-27,Air Conditioner Maintenance,-150.00,Home Improvement
2024-07-28,Swimming Lessons,-100.00,Health
2024-07-29,Outdoor Concert Tickets,-80.00,Entertainment
2024-07-30,Grocery Delivery,-89.75,Food
2024-07-31,Rent Payment,-1200.00,Housing
2024-08-01,Paycheck,3000.00,Income
2024-08-02,Gas Station,-49.50,Transportation
2024-08-03,Online Retailer,-78.99,Shopping
2024-08-04,Coffee Shop,-5.75,Food
2024-08-05,Water Bill,-52.00,Utilities
2024-08-06,Restaurant,-68.25,Food
2024-08-07,Streaming Service,-14.99,Entertainment
2024-08-08,Pharmacy,-41.75,Health
2024-08-09,Gym Membership,-50.00,Health
2024-08-10,Mobile Phone Bill,-75.00,Utilities
2024-08-11,School Supplies,-120.50,Education
2024-08-12,Public Transport,-30.00,Transportation
2024-08-13,Back-to-School Clothing,-175.00,Shopping
2024-08-14,Supermarket,-101.25,Food
2024-08-15,Internet Service,-60.00,Utilities
2024-08-15,Paycheck,3000.00,Income
2024-08-16,Haircut and Styling,-55.00,Personal Care
2024-08-17,Home Paint Job,-200.00,Home Improvement
2024-08-18,Fast Food,-13.50,Food
2024-08-19,Video Game Purchase,-59.99,Entertainment
2024-08-20,Pet Check-up,-95.00,Pets
2024-08-21,Car Insurance,-150.00,Insurance
2024-08-22,Annual Physical,-25.00,Health
2024-08-23,Office Chair,-189.99,Office
2024-08-24,Farmers Market Produce,-35.00,Food
2024-08-25,Local Food Bank Donation,50.00,Donations
2024-08-26,Bike Rental,-20.00,Transportation
2024-08-27,Window Cleaning Service,-75.00,Home Improvement
2024-08-28,Yoga Workshop,-40.00,Health
2024-08-29,Museum Membership,-65.00,Entertainment
2024-08-30,Grocery Delivery,-93.50,Food
2024-08-31,Rent Payment,-1200.00,Housing
2024-09-01,Paycheck,3000.00,Income
2024-09-02,Grocery Store,-85.32,Food
2024-09-03,Gas Station,-45.67,Transportation
2024-09-04,Online Retailer,-129.99,Shopping
2024-09-05,Coffee Shop,-4.50,Food
2024-09-05,Electric Company,-120.00,Utilities
2024-09-05,Freelance Work,500.00,Income
2024-09-06,Restaurant,-65.75,Food
2024-09-07,Movie Theater,-28.50,Entertainment
2024-09-08,Pharmacy,-32.45,Health
2024-09-08,Gift from Family,100.00,Gifts
2024-09-09,Gym Membership,-50.00,Health
2024-09-10,Mobile Phone Bill,-75.00,Utilities
2024-09-11,Bookstore,-39.99,Education
2024-09-12,Public Transport,-30.00,Transportation
2024-09-12,Side Gig,150.00,Income
2024-09-13,Clothing Store,-89.50,Shopping
2024-09-14,Supermarket,-102.75,Food
2024-09-15,Internet Service,-60.00,Utilities
2024-09-15,Paycheck,3000.00,Income
2024-09-16,Hair Salon,-55.00,Personal Care
2024-09-17,Hardware Store,-78.25,Home Improvement
2024-09-18,Fast Food,-12.99,Food
2024-09-18,Interest Income,25.50,Investment
2024-09-19,Streaming Service,-14.99,Entertainment
2024-09-20,Pet Store,-45.50,Pets
2024-09-20,Dividend Payment,75.00,Investment
2024-09-21,Car Insurance,-150.00,Insurance
2024-09-22,Dentist,-200.00,Health
2024-09-22,Tax Refund,250.00,Income
2024-09-23,Office Supplies,-28.75,Office
2024-09-24,Lunch with Colleagues,-35.00,Food
2024-09-25,Charity Donation,50.00,Donations
2024-09-25,Cashback Rewards,35.75,Income
2024-09-26,Parking Fee,-15.00,Transportation
2024-09-27,Home Decor Store,-75.50,Home Improvement
2024-09-28,Gym Equipment,-199.99,Health
2024-09-29,Concert Tickets,-120.00,Entertainment
2024-09-30,Grocery Delivery,-95.25,Food
2024-09-30,Rent Payment,-1200.00,Housing